path,sentence,dur,speaker,set,lang,accent,task,mic,split
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk160.wav,หรือว่า,0.82,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk226.wav,แต่,0.64,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk132.wav,แต่,0.57,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk359.wav,บางที,0.71,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S003_T069_Con123_chunk245.wav,แต่ว่าแบบ,0.95,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S007_T045_Con123_chunk336.wav,เค้าเรียกอะไรอะ,1.62,F07,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S009_T070_Con123_chunk68.wav,ใช่ก็,0.79,F07,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S009_T070_Con123_chunk249.wav,ก็เลยรู้สึกว่า,0.92,F07,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S021_T049_Con123_chunk149.wav,อา,0.82,M09,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S021_T049_Con123_chunk152.wav,อา,0.49,M09,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S028_T028_Con123_chunk447.wav,อือฮึ,0.61,F17,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S029_T035_Con123_chunk319.wav,ใช่มั้ย,0.7,F17,lotus_dis,th,Central Thai,transcribe,con123,train
