path,sentence,dur,speaker,set,lang,accent,task,mic,split
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk26.wav,เพราะว่า,1.08,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk37.wav,อืม,0.94,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk45.wav,คือ,0.8,F02,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk63.wav,แล้วก็,1.01,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk96.wav,เพราะว่า,0.81,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk100.wav,อื๋ม,0.91,F02,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk107.wav,อื๋ม,1.35,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk112.wav,เพราะว่า,0.7,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk135.wav,อืม,1.33,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk156.wav,อื๋ม,1.62,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk222.wav,อื๋ม,1.33,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk241.wav,อืม,0.78,F02,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk275.wav,อื๋ม,1.17,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk298.wav,อืม,0.34,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk305.wav,อืม,0.92,F02,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk367.wav,เอ่อ,1.05,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S001_T057_Con123_chunk385.wav,อื๋ม,1.17,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk50.wav,มัน,0.99,F02,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk76.wav,อื๋ม,0.84,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk78.wav,เออ,0.92,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk129.wav,อืม,0.91,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk225.wav,อื๋ม,0.94,M01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk243.wav,แล้ว,1.15,F01,lotus_dis,th,Central Thai,transcribe,con123,train
lotus_dis_ult/audio/con123/Hijack_S002_T062_Con123_chunk248.wav,เออ,0.79,F01,lotus_dis,th,Central Thai,transcribe,con123,train
